NODE_ID,ROAD_PROPERTIES,JUNCTION_PROPERTIES,LENGTH_METRES,DIRECTION_1,DIRECTION_2,DIRECTION_3
0,00000000,ZZZZZZZZ,0,2,1,0
1,ABBBCBGDHDIAJCKA,ACBBCBDBFBGDHDIAJHKB,72,9,0,0
2,ABBBCBGDHDIAJAKA,R,92,3,0,0
3,ABBBCBGDHDICJEKB,R,261,4,7,0
4,ABBBCBGDHDIAJCKB,Q,282,5,0,0
5,ACBBCBGDHDIBJCKB,R,173,6,0,0
6,ACBDCAGDHDIAJCKC,S,157,10,0,0
7,ACBDCBGDHDIAJCKC,Q,260,8,0,0
8,ACBDCBGDHDIBJCKC,S,119,10,0,0
9,ACBCCBGCHBIAJGKC,S,281,7,13,12
10,ACBDCAGDHDIBJAKC,Q,124,21,11,0
11,ABBACAGDHDIAJAKA,Q,74,15,0,0
12,ACBECBGDHDIBJAKC,R,227,13,16,0
13,ABBDCBGDHAIBJBKC,M,183,14,0,0
14,ABBBCBGDHDIAJCKB,M,206,18,24,0
15,ABBBCBGDHDIAJCKB,Q,223,19,17,0
16,ACBECBGDHBIAJAKC,N,284,22,0,0
17,ABBACAGDHDIAJAKA,M,218,21,0,0
18,ABBBCBGDHDIDJBKB,M,281,20,28,0
19,ABBBCBGDHDIAJCKB,M,145,21,0,0
20,ABBBCBGDHDIAJAKB,M,55,21,0,0
21,ABBBCBGBHDIAJBKB,O,179,36,0,0
22,ACBCCBGDHDIAJCKC,P,217,26,0,0
23,ABBBCBGDHDIAJAKB,Q,146,25,29,0
24,00000000,Q,365,27,31,0
25,00000000,Q,345,27,31,0
26,ACBDCBGDHDIAJAKC,O,95,23,34,0
27,00000000,M,204,33,0,0
28,00000000,M,258,39,35,0
29,00000000,Q,280,31,0,0
30,00000000,Q,338,31,0,0
31,00000000,Q,195,32,0,0
32,00000000,Q,49,40,0,0
33,00000000,Y,245,32,0,0
34,00000000,Q,159,30,38,0
35,00000000,R,254,37,0,0
36,00000000,Q,461,45,0,0
37,00000000,Q,43,45,0,0
38,00000000,O,112,41,0,0
39,00000000,Q,332,35,0,0
40,00000000,O,192,42,0,0
41,00000000,O,480,59,0,0
42,00000000,M,152,60,0,0
43,00000000,Q,252,55,42,0
44,00000000,Q,77,43,0,0
45,00000000,O,191,44,0,0
46,00000000,Q,171,47,48,0
47,00000000,Q,209,49,0,0
48,00000000,Q,314,49,0,0
49,00000000,Q,181,50,0,0
50,00000000,R,216,51,0,0
51,00000000,Q,126,58,52,0
52,00000000,Q,130,57,0,0
53,00000000,O,197,54,0,0
54,00000000,Q,256,55,52,0
55,00000000,M,66,60,0,0
56,00000000,Y,49,60,0,0
57,00000000,Q,130,60,0,0
58,00000000,Q,67,59,0,0
59,00000000,Q,86,60,0,0
60,00000000,Y,55,0,0,0
